travel_order_sentence,start,end,middle
Comment aller à Veney,,Veney,
Allons à la Villa Nouvelle en partant de Rue de la Mire mais avant ça je veux aller à Boulevard Saint-Jacques,Rue de la Mire,Villa Nouvelle,Boulevard Saint-Jacques
Rendez-vous annulé à Rue Léon Jouhaux je vais Chemin des Pépinières à Square des Aliscamps,Chemin des Pépinières,Square des Aliscamps,
Rue du Moulinet fermé Place Louise Catherine Breslau et Madeleine Zillhardt bloqué Route des Bosquets annulé donc Rue Henry de Bournazel Chemin des Pépinières,Rue Henry de Bournazel,Chemin des Pépinières,
Permet moi de me rendre de Royeres à Tournon sur rhone en passant par St sandoux,Royeres,Tournon sur rhone,St sandoux
Je vais de Cransac à Vélines en prenant le chemin qui passe par Fos-Viguerat,Cransac,Vélines,Fos-Viguerat
Ma mère m'attend à Etreaupont sur la route entre Abeilhan et Le crotoy,Abeilhan,Le crotoy,Etreaupont
Chambly Marseille-St-Charles par Chemilly-Appoigny,Chambly,Marseille-St-Charles,Chemilly-Appoigny
Je dois partir de Avenue Jean Moulin merde de Rue des Immeubles Industriels pour me rendre à Passage Bourgoin fait un petit détour à Villa de Bellevue,Rue des Immeubles Industriels,Passage Bourgoin,Villa de Bellevue
Je dois passer par Rue Alexandre Dumas pour me diriger à Rue Rouget de l'Isle en partant de Rue Joseph de Maistre,Rue Joseph de Maistre,Rue Rouget de l'Isle,Rue Alexandre Dumas
Je dois me rendre devant Rixheim pardon Meulan-Hardricourt de St-Varent,St-Varent,Meulan-Hardricourt,
On va à Cité Dupetit-Thouars Rue Mercoeur et on part de Rue Saint-Germain l'Auxerrois,Rue Saint-Germain l'Auxerrois,Rue Mercoeur,
Je vais de Royeres à Le crotoy en prenant le chemin qui passe par Sexfontaines,Royeres,Le crotoy,Sexfontaines
Mon pote m'attend à Esperce faut qu'on aille à Douvres,Esperce,Douvres,
Hier c'était Rue Alexandre Dumas aujourd'hui c'est Rue Jules Pichard escale Rue Pasquier terminus Avenue Joseph Bédier,Rue Jules Pichard,Avenue Joseph Bédier,Rue Pasquier
Bien que Rue Constant Berthaut soit plus court je préfère aller de Place Joachim du Bellay à Rue Jules Pichard en passant par Rue Cadet,Place Joachim du Bellay,Rue Jules Pichard,Rue Cadet
Je voulais aller de Place Alice Guy à Rue Marguerite de Rochechouart mais finalement je vais de Avenue Edouard Vaillant à Rue de Tahiti,Avenue Edouard Vaillant,Rue de Tahiti,
Place Jean-Paul Sartre-Simone de Beauvoir en quittant Rue de l'Evangile je voulais dire que je vais à Avenue des Peupliers,Rue de l'Evangile,Avenue des Peupliers,
Je dois me rendre devant Rue Camille Flammarion pardon Pont au Double de Rue Henry de Bournazel,Rue Henry de Bournazel,Pont au Double,
Je dois me rendre chez ma mère là elle habite à Rue du Général Archinard mais là je suis à Rue du Père Corentin et avant ça j'ai besoin de passer devant un magasin qui est à Passage de Dantzig,Rue du Père Corentin,Rue du Général Archinard,Passage de Dantzig
À Cuissai j'ai besoin de d'abord passer par Colletot,,Cuissai,Colletot
Guide-moi de St-Cyr à Lourdes,St-Cyr,Lourdes,
Comment aller à Square Roland Garros en passant par Passage du Retrait ah enfaite je veux aller Passage Bourgoin en passant par Rue Jussieu en partant de Rue du Commandeur,Rue du Commandeur,Passage Bourgoin,Rue Jussieu
Il me faut une route de St julien les rosiers ah non attends ah oui de Guiseniers à Oissel mais avec un détour devant St pardoux les cards s'il te plaît,Guiseniers,Oissel,St pardoux les cards
Lison à Haybes Hannon Boussay-La Bruffière à Bourg-St-Maurice,Boussay-La Bruffière,Bourg-St-Maurice,
C'était Courpiac hier aujourd'hui c'est Distroff pause St gilles pligeaux terminus Thun l eveque,Distroff,Thun l eveque,St gilles pligeaux
Calcul d'itinéraire Wattignies la victoire vers Condat sur vezere,Wattignies la victoire,Condat sur vezere,
Je dois faire St-Cyr Graffenwald aujourd'hui,St-Cyr,Graffenwald,
Je dois aller à Paris-Gare-de-Lyon,,Paris-Gare-de-Lyon,
Mon pote m'attend à Tagolsheim faut qu'on aille à Pérenchies,Tagolsheim,Pérenchies,
Pas par Genac bignac direct de Saugon vers Remereville,Saugon,Remereville,
Je veux me rendre chez mon ami qui habite à Isques en partant de Essouvert mais avant je vais à Bosroumois,Essouvert,Isques,Bosroumois
Je suis à Square Claude Debussy faut aller à Impasse Sainte-Monique puis Cité Hittorf,Square Claude Debussy,Cité Hittorf,Impasse Sainte-Monique
Ça sera Rue du Commandeur Rue de la Présentation puis Avenue Joseph Bédier,Rue du Commandeur,Avenue Joseph Bédier,Rue de la Présentation
Je suis à Souterrain Berger Est faut se diriger vers Place de Lévis puis Avenue Joseph Bédier,Souterrain Berger Est,Avenue Joseph Bédier,Place de Lévis
C'est possible de calculer ça je suis devant Peyrusse grande je dois récupérer un colis qui se trouve dans St quentin sur sauxillanges pour l'apporter à Baslieux,Peyrusse grande,Baslieux,St quentin sur sauxillanges
Parti de Planioles à Quievy mince à Espeyrac plutôt,Planioles,Espeyrac,
Mon ami m'attendait à Arras mais finalement il sera à Sillé-le-Guillaume sur ma route de Ste-Gauburge à Argelès-sur-Mer,Ste-Gauburge,Argelès-sur-Mer,Sillé-le-Guillaume
Je veux aller à St etienne de puycorbier mais pas directement d'abord je pars de Aulnay la riviere et je dois passer par Fontaine couverte,Aulnay la riviere,St etienne de puycorbier,Fontaine couverte
Trop de bouchons vers Mouchard je fais je prends St priest la roche Espeyrac,St priest la roche,Espeyrac,
calcule-moi un itinéraire de Marolles-en-Hurepoix attends avec un arrêt à Nouzonville pour aller à Poliénas,Marolles-en-Hurepoix,Poliénas,Nouzonville
Il neige à St cyr du coup je me lance de La chapelle hareng arrêt à Plesse destination Andance,La chapelle hareng,Andance,Plesse
Faut aller où pour faire Bulson Loupiac de la reole,Bulson,Loupiac de la reole,
Mon planning a changé plus besoin d'aller vers Monthermé juste La Bachellerie mais pas Miserey-Salines direction Bessines,La Bachellerie,Bessines,
Rue du Docteur Finlay ah non de Rue Henri Verneuil vers Voie Bh/17,Rue Henri Verneuil,Voie Bh/17,
J'ai un parcours un peu particulier Ceaux en loudun pour commencer Cappel au milieu et St etienne de tinee pour terminer,Ceaux en loudun,St etienne de tinee,Cappel
Il neige à Nohant en gout du coup je pars de Isques arrêt à Les junies destination Balesta,Isques,Balesta,Les junies
Trop de bouchons vers Malesherbes je fais je prends Igny Graffenwald,Igny,Graffenwald,
Vouziers Retiers je fais comment,Vouziers,Retiers,
Il neige à Cavaillon (MIN) du coup je pars de Villabé arrêt à Combourg destination Varetz,Villabé,Varetz,Combourg
Je pars de Domène je vais à St-Armel,Domène,St-Armel,
Je dois passer à Rue des Mathurins pour me rendre Rue des Dames de Rue du Commandeur mais je préfère passer par Boulevard Malesherbes finalement,Rue du Commandeur,Rue des Dames,Boulevard Malesherbes
J'hésite entre Square Lamartine et Rue de Marseille non en fait Avenue des Pavillons direction Rue Mercoeur,Avenue des Pavillons,Rue Mercoeur,
Je vais de Ceton à Andance en prenant le chemin qui passe par Pointel,Ceton,Andance,Pointel
J'ai rendez-vous à Hirson à 14h puis je dois aller à Coussey je suis à Fourchambault,Fourchambault,Coussey,Hirson
Je pars de Place de Barcelone dans une heure pause déjeuner à Voie Cs/12 pour arriver à Rue Jules Pichard ce soir,Place de Barcelone,Rue Jules Pichard,Voie Cs/12
Mon GPS indique Goulles mais je veux aller de Frehel à Cenac et st julien Condat sur vezere pardon,Frehel,Condat sur vezere,
On se capte à Pins-Justaret puis direction Viry-Châtillon avant de finir à Coussey ça te va,Pins-Justaret,Coussey,Viry-Châtillon
J'hésite entre Rue de Parme et Place Gaillon non en fait Rue Saint-Germain l'Auxerrois direction Rue de Tolbiac,Rue Saint-Germain l'Auxerrois,Rue de Tolbiac,
Je veux aller de Avenue du Square à Villa Ornano,Avenue du Square,Villa Ornano,
Je suis perdu je veux aller de Impasse Salembrière à Passage Savart,Impasse Salembrière,Passage Savart,
Je pars de Mezerolles dans une heure pause déjeuner à Castera verduzan pour arriver à Laneuville au pont ce soir,Mezerolles,Laneuville au pont,Castera verduzan
On part de Varetz on s'arrête en face de Bar-sur-Aube puis Bouzonville,Varetz,Bouzonville,Bar-sur-Aube
Je dois me rendre à Rue des Gâtines,,Rue des Gâtines,
Je dois rejoindre Bouray je pars de Villefranche-de-Rouergue,Villefranche-de-Rouergue,Bouray,
Emmène-moi à Rue Montmartre là je suis à Rue Bernard Tétu,Rue Bernard Tétu,Rue Montmartre,
Je suis à Cité du Wauxhall et je veux me rendre à Cité Rougemont ah merde oublie ce que je viens de dire j'ai eu un petit contre temps enfaite je dois me rendre à Rue des Dames et je dois passer par Rue de Toul par contre je suis vraiment à Rue Bréa,Rue Bréa,Rue des Dames,Rue de Toul
Si je suis à Beuvrages et que je dois aller jusqu'a Meximieux-Pérouges tu peux me faire passer par Foëcy c'est important pour moi,Beuvrages,Meximieux-Pérouges,Foëcy
Comment faire pour aller de Seurre à St-Fons en passant par Neuilly-lès-Dijon,Seurre,St-Fons,Neuilly-lès-Dijon
Villefranche-de-Rouergue jusque Condé-sur-Huisne jusque Mériel désolé,Villefranche-de-Rouergue,Mériel,
Je pars de Montaigut je passe par St-Agne et j'arrive à Le Buisson,Montaigut,Le Buisson,St-Agne
St moreil vers Hohrod,St moreil,Hohrod,
Mon planning a changé plus besoin d'aller vers Reims-St-Léonard juste Le Grand-Jardin mais pas Jassonneix direction Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),Le Grand-Jardin,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),
Oublie Ambérieu calcule Audun-le-Roman Poliénas par Rixheim,Audun-le-Roman,Poliénas,Rixheim
Planioles c'est où,,Planioles,
Comment va de Baliros Beaucourt en santerre,Baliros,Beaucourt en santerre,
Je vais de Areines à Valleroy en prenant le chemin qui passe par St louis,Areines,Valleroy,St louis
Donc je vais chez un ami à Rue des Gâtines et là je suis actuellement à Avenue des Pavillons,Avenue des Pavillons,Rue des Gâtines,
Comment va de Graffenwald Valenciennes,Graffenwald,Valenciennes,
Je commence à Provins je finis à Anor ah et j'oubliais faut que je passe par Cesson entre les deux,Provins,Anor,Cesson
Je suis à St anthot et je veux prendre le chemin qui passe par Vers sur meouge pour aller à St etienne de puycorbier,St anthot,St etienne de puycorbier,Vers sur meouge
C'est possible de calculer ça je suis devant Tournon sur rhone je dois récupérer un colis qui se trouve dans Vagney pour l'apporter à Laneuville au pont,Tournon sur rhone,Laneuville au pont,Vagney
Je pars de Audun-le-Roman dans une heure pause déjeuner à Joigny-sur-Meuse pour arriver à Bouzonville ce soir,Audun-le-Roman,Bouzonville,Joigny-sur-Meuse
Je vis à Rue Sainte-Cécile je cherche à partir de la ville la plus proche qui est Rue Ponscarme pour voyager à Souterrain Berger Est mais je désirerais passer par Rue Madeleine Brès pour voir ma famille,Rue Ponscarme,Souterrain Berger Est,Rue Madeleine Brès
Faut aller où pour faire Chainaz les frasses Douvres,Chainaz les frasses,Douvres,
Cordemais de Farbus,Farbus,Cordemais,
Je voulais aller de Avenue Montaigne à Place Armand Carrel mais finalement je vais de Avenue Anatole France à Avenue de la Bourdonnais,Avenue Anatole France,Avenue de la Bourdonnais,
Comment aller de Farbus jusqu'à Pithiviers,Farbus,Pithiviers,
Donc je vais chez un ami à Rue de Monbel et là je suis actuellement à Place Jean Monnet,Place Jean Monnet,Rue de Monbel,
Il me faudrait Allée Adrienne Lecouvreur direction Impasse des Peintres,Allée Adrienne Lecouvreur,Impasse des Peintres,
Je dois choper quelque chose à Rue Benjamin Godard en allant de Souterrain Berger Est vers Rue Rouget de l'Isle,Souterrain Berger Est,Rue Rouget de l'Isle,Rue Benjamin Godard
Je dois poser quelque chose à Sommauthe entre St etienne de puycorbier et Tessel,St etienne de puycorbier,Tessel,Sommauthe
Pour arriver à Chainaz les frasses je dois partir de Champagny non de Lurcy,Lurcy,Chainaz les frasses,
Allons à la Square Got en partant de Place Gambetta mais avant ça je veux aller à Rue Alexander Fleming,Place Gambetta,Square Got,Rue Alexander Fleming
Veux me rendre chez mon ami qui habite à Tournon sur rhone en partant de Abeilhan mais avant je me rends à Anizy le grand,Abeilhan,Tournon sur rhone,Anizy le grand
Tu peux me calculer Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER) Étriché-Châteauneuf,Roissy-Aéroport-Charles-de-Gaulle 2-TGV (RER),Étriché-Châteauneuf,
Je dois passer à Méru pour me rendre Wimille-Wimereux de Beuvrages mais je préfère passer par Juziers finalement,Beuvrages,Wimille-Wimereux,Juziers
Pensais partir Nexon mais en fait je me lance de Vélines je récupère un truc à Walheim puis Mignaloux-Nouaillé,Vélines,Mignaloux-Nouaillé,Walheim
Je suis près de Rue Guy Môquet à côté du supermarché je dois passer à la pharmacie de Rue Chapu avant d'aller à Avenue de la Grande Armée,Rue Guy Môquet,Avenue de la Grande Armée,Rue Chapu
Le trajet c'est Voie Co/12 vers Rue Eugène Jumin plus besoin de passer par Rue de Cahors,Voie Co/12,Rue Eugène Jumin,
Je suis fatigué et je vais aller à la maison qui est à Quercitello mais je dois d'abord aller au travail puis partir de Cranves sales pour aller à la maison,Cranves sales,Quercitello,
La roche posay vers Elincourt ste marguerite Jonville en woevre plutôt,La roche posay,Jonville en woevre,
Rue Martel fermé Allée des Frères Voisin bloqué Place René Cassin annulé donc Villa Ornano Quai d'Orsay,Villa Ornano,Quai d'Orsay,
Il neige à Rue Julien Lacroix du coup je me lance de Rue Joseph de Maistre arrêt à Voie Y/19 destination Villa Industrielle,Rue Joseph de Maistre,Villa Industrielle,Voie Y/19
J'ai rendez-vous à Niolon à 14h puis je dois aller à Audun-le-Roman je suis à Cransac,Cransac,Audun-le-Roman,Niolon
calcule-moi un itinéraire de Voie Cd/15 attends avec un arrêt à Place Henri Queuille pour aller à Rue de Castellane,Voie Cd/15,Rue de Castellane,Place Henri Queuille
Je suis perdu entre Voie Ay/16 et Rue Charles Hermite je veux juste Passage Savart Rue Giffard,Passage Savart,Rue Giffard,
Calcul d'itinéraire Sens vers Jonville en woevre,Sens,Jonville en woevre,
La fête à Munster est annulé je pars de Frynaudour pour rejoindre Castelnaudary,Frynaudour,Castelnaudary,
Emmène-moi à Quercitello,,Quercitello,
Aller à Segos en empruntant le parcours de Rouffignac st cernin de reilhac Loubens en partant de Ceaux en loudun,Ceaux en loudun,Segos,Loubens
Hey tu peux me déposer à Epernay ah et sur le chemin faut qu'on s'arrête à Mauzé,,Epernay,Mauzé
Je suis en retard faut que j'aille de Wattignies la victoire à Lebetain,Wattignies la victoire,Lebetain,
Je veux aller à Tessel mais pas directement d'abord je pars de Blequin et je dois passer par St andre,Blequin,Tessel,St andre
Voie Aq/16 Hannon de Voie Ar/17 vers Avenue du Général Détrie,Voie Ar/17,Avenue du Général Détrie,
Le trajet c'est St-Martin-le-Beau vers Bessines plus besoin de passer par Gujan-Mestras,St-Martin-le-Beau,Bessines,
De Chevry pardon de Boussay-La Bruffière jusqu'à Givet,Boussay-La Bruffière,Givet,
Je dois voyager à Rue Claude Farrère ah non je voulais dire Rue Notre-Dame de Recouvrance pardon et je suis à Impasse de Joinville là,Impasse de Joinville,Rue Notre-Dame de Recouvrance,
Je dois poser quelque chose à Terrenoire entre Barentin-Embranchement et Watten-Éperlecques,Barentin-Embranchement,Watten-Éperlecques,Terrenoire
Retiers le point de départ est Le Grand-Jardin,Le Grand-Jardin,Retiers,
Bien que Lomme soit plus court je préfère aller de Presles-Courcelles à Villereversure en passant par Clichy-Levallois,Presles-Courcelles,Villereversure,Clichy-Levallois
St moreil à Montrecourt c’est où,St moreil,Montrecourt,
Hier c'était Cergy-le-Haut aujourd'hui c'est Mazières-Verruyes escale Garnay terminus Coussey,Mazières-Verruyes,Coussey,Garnay
Riscle Chainaz les frasses je fais quoi,Riscle,Chainaz les frasses,
Comment faire pour aller de Passage Bourgoin à Villa Santos-Dumont en passant par Rue de Bellièvre,Passage Bourgoin,Villa Santos-Dumont,Rue de Bellièvre
Comment on va de Baliros à Bulson,Baliros,Bulson,
Je vis à Quillan je cherche à partir de la ville la plus proche qui est Changis-St-Jean pour voyager à Bouzonville mais je désirerais passer par St-Cyprien-en-Dordogne pour voir ma famille,Changis-St-Jean,Bouzonville,St-Cyprien-en-Dordogne
Il neige à Franxault du coup je pars de Meximieux-Pérouges arrêt à Lurbe-St-Christau destination Xertigny,Meximieux-Pérouges,Xertigny,Lurbe-St-Christau
Tu peux me calculer Boussay-La Bruffière Tagolsheim,Boussay-La Bruffière,Tagolsheim,
Aller à Chateau rouge en empruntant le parcours de Nogent sur aube Soulages en partant de Abeilhan,Abeilhan,Chateau rouge,Soulages
Je dois aller chez ma mère là elle habite à Varetz mais là je suis à Meximieux-Pérouges et avant ça je dois passer devant un magasin qui est à Sain-Bel,Meximieux-Pérouges,Varetz,Sain-Bel
Je veux voyager de Varetz à Morcenx mais je dois impérativement d'abord voyager à La Rivière-de-Mansac,Varetz,Morcenx,La Rivière-de-Mansac
À Wimille-Wimereux j'ai besoin de d'abord passer par Colayrac,,Wimille-Wimereux,Colayrac
Le trajet c'est Rue des Grands Augustins vers Rue de la Jussienne plus besoin de passer par Esplanade du Général Casso,Rue des Grands Augustins,Rue de la Jussienne,
Le magasin de Calonges est fermé du coup je dois partir de Millencourt m'arrêter à Francois pour aller à Ceton,Millencourt,Ceton,Francois
St anthot Fallon en suivant le chemin de Voharies,St anthot,Fallon,Voharies
On se capte à Rue Quincampoix puis direction Place Monseigneur Loutil avant de finir à Chemin des Gravilliers ça te va,Rue Quincampoix,Chemin des Gravilliers,Place Monseigneur Loutil
Comment rejoindre Neuilly-sur-Marne depuis Le Grand-Jardin,Le Grand-Jardin,Neuilly-sur-Marne,
Je veux me rendre à Mazières-Verruyes en passant par Besançon-Franche-Comté-TGV alors que je suis actuellement à Audun-le-Roman,Audun-le-Roman,Mazières-Verruyes,Besançon-Franche-Comté-TGV
J'ai besoin d'un itinéraire Alors on va dire départ Valleroy arrivée Aurseulles ah non non Andance pardon mais faut passer par Aurseulles,Valleroy,Andance,Aurseulles
Je vis à Carnoët-Locarn je cherche à partir de la ville la plus proche qui est Marolles-en-Hurepoix pour aller à Brassac-les-Mines-Ste-Florine mais je souhaiterais passer par Faubourg-d'Orléans pour voir ma famille,Marolles-en-Hurepoix,Brassac-les-Mines-Ste-Florine,Faubourg-d'Orléans
Je dois me rendre devant Rue Paul Laurent pardon Impasse de Joinville de Avenue des Pavillons,Avenue des Pavillons,Impasse de Joinville,
Tu me disais Voie Z/18 hier Avenue de la Porte des Poissonniers ce matin mais là je veux juste aller de Avenue Edouard Vaillant à Rue Notre-Dame de Recouvrance,Avenue Edouard Vaillant,Rue Notre-Dame de Recouvrance,
St-Georges-de-Commiers vers Rosheim Paris-Gare-de-Lyon plutôt,St-Georges-de-Commiers,Paris-Gare-de-Lyon,
Direction Frynaudour depuis Neuilly-sur-Marne,Neuilly-sur-Marne,Frynaudour,
Je veux me rendre chez mon ami qui habite à Abeilhan en partant de St gervais les bains mais avant je vais à Pluherlin,St gervais les bains,Abeilhan,Pluherlin
Je dois aller à Rue Malte Brun de Passage Savart,Passage Savart,Rue Malte Brun,
Il me faudrait Voie Co/12 direction Avenue du Général Détrie,Voie Co/12,Avenue du Général Détrie,
J'ai fait Arc sous cicon ce matin Aisy sur armancon à midi maintenant calcule-moi St leger du malzieu vers Loupiac de la reole,St leger du malzieu,Loupiac de la reole,
Le chemin St moreil Epargnes s'il te plaît,St moreil,Epargnes,
C’est quoi le chemin pour aller de Igny à St-Cyr,Igny,St-Cyr,
On va à Plenise Royaucourt et on part de Lurcy,Lurcy,Royaucourt,
Pas Val d ornain je veux dire de Cranves sales pour aller Riscle et du coup je passe pas par Pont noyelles,Cranves sales,Riscle,
Fallon en prenant le passage de Serre les sapins,,Fallon,Serre les sapins
Non pas Monay je voulais dire Hunspach puis Charpey enfin Peyrusse grande,Hunspach,Peyrusse grande,Charpey
Besoin d'un chauffeur départ Rue Gay-Lussac arrêt obligatoire à Passage Saint-Sébastien arrivée finale Place de Barcelone,Rue Gay-Lussac,Place de Barcelone,Passage Saint-Sébastien
Je voulais aller Passage Thiéré mais finalement ce sera Avenue du Square Avenue de la Bourdonnais,Avenue du Square,Avenue de la Bourdonnais,
Emmène-moi à Rue de Monbel,,Rue de Monbel,
Allons à la Epernay en partant de Bouzonville mais avant ça je veux aller à Coutras,Bouzonville,Epernay,Coutras
Ma mère m'attend à Vernassal sur la route entre Montsauche les settons et Lafrancaise,Montsauche les settons,Lafrancaise,Vernassal
Allons à Audun-le-Roman en partant de Fourchambault mais avant ça je veux aller à Foix,Fourchambault,Audun-le-Roman,Foix
J'habite à La chapelle thouarault je dois aller à Mezerolles mais je dois passer par Marizy ste genevieve,,Mezerolles,Marizy ste genevieve
Comment se rendre à Berganty en partant de Beaucourt en santerre,Beaucourt en santerre,Berganty,
Je suis en retard à mon rendez-vous à Meulan-Hardricourt et je suis encore à Pérenchies Trouve moi un itinéraire,Pérenchies,Meulan-Hardricourt,
Je veux aller de Rue Henri Verneuil à Passage Savart,Rue Henri Verneuil,Passage Savart,
Rue Catinat en quittant Voie Fd/20 je voulais dire que je vais à Boulevard de Denain,Voie Fd/20,Boulevard de Denain,
C'était Avenue Théophile Gautier hier aujourd'hui c'est Place Georges Berry pause Rue Stephenson terminus Rue de Montevideo,Place Georges Berry,Rue de Montevideo,Rue Stephenson
Je suis Passage Vallet je veux aller Cour Jacques Viguès,Passage Vallet,Cour Jacques Viguès,
St-Aubin (Jura) par Vervins,,St-Aubin (Jura),Vervins
Pas par Pleaux direct de Eaucourt sur somme vers Sens,Eaucourt sur somme,Sens,
Je pensais aller Rue des Cinq Diamants mais en fait je pars de Souterrain Berger Est je récupère un truc à Square Grangé puis direction Rue de la Folie-Méricourt,Souterrain Berger Est,Rue de la Folie-Méricourt,Square Grangé
Je dois aller à Douzies,,Douzies,
Bien que Esplanade du Souvenir Français soit plus court je préfère aller de Chemin des Gravilliers à Rue du Soleil en passant par Rue Louis David,Chemin des Gravilliers,Rue du Soleil,Rue Louis David
Oublie Montreuil calcule Beuvrages Meudon-Val-Fleury par St-Amand-les-Eaux,Beuvrages,Meudon-Val-Fleury,St-Amand-les-Eaux
Allons à la Le monteil en partant de Peyrusse grande mais avant ça je veux aller à Brehan,Peyrusse grande,Le monteil,Brehan
Je suis à Bédarieux et je veux me rendre à Meuse-TGV ah merde oublie ce que je viens de dire j'ai eu un petit contre temps enfaite je dois me rendre à Meudon-Val-Fleury et je dois passer par Crissé par contre je suis vraiment à Marseille-St-Charles,Marseille-St-Charles,Meudon-Val-Fleury,Crissé
Il me faut une route de Place Michel Petrucciani ah non attends ah oui de Souterrain Berger Est à Rue de Castellane mais avec un détour devant Pont de Bir-Hakeim s'il te plaît,Souterrain Berger Est,Rue de Castellane,Pont de Bir-Hakeim
calcule-moi un itinéraire de Peyrusse grande attends avec un arrêt à Saulnes pour aller à Tournon sur rhone,Peyrusse grande,Tournon sur rhone,Saulnes
Pour se diriger à Rue Jules Pichard je dois impérativement traverser Rue des Patriarches Square du Quercy je voulais dire et je débute à Place Gabriel Kaspereit,Place Gabriel Kaspereit,Rue Jules Pichard,Square du Quercy
Pour aller de St-Pol-de-Léon à Angoulins-sur-Mer je dois d'abord passer par Hochfelden,St-Pol-de-Léon,Angoulins-sur-Mer,Hochfelden
C'était Paris-Nord-Surface hier aujourd'hui c'est Marolles-en-Hurepoix pause Maulde-Mortagne terminus Maule,Marolles-en-Hurepoix,Maule,Maulde-Mortagne
De Le Monastier à Villabé avec un crochet à Wissembourg avant je voulais aller à Joué-lès-Tours mais finalement je ne vais pas y aller,Le Monastier,Villabé,Wissembourg
Il neige à Woincourt du coup je me lance de Beuvrages arrêt à Pavilly destination Villereversure,Beuvrages,Villereversure,Pavilly
Position actuelle Avenue du Général Détrie direction Rue de Senlis ah non je voulais dire Rue de Villafranca,Avenue du Général Détrie,Rue de Villafranca,
Position actuelle Petit couronne direction Diebling ah non je voulais dire Savy berlette,Petit couronne,Savy berlette,
Avec la pluie je préfère passer par Neuilly-Porte-Maillot pour aller de Angoulins-sur-Mer à Xertigny,Angoulins-sur-Mer,Xertigny,Neuilly-Porte-Maillot
Boulevard Lannes Rue des Gâtines,Boulevard Lannes,Rue des Gâtines,
Je suis à Brétigny et je veux me rendre à Uzel ah merde oublie ce que je viens de dire j'ai eu un petit contre temps enfaite je dois me rendre à Bar-sur-Aube et je dois passer par Lagny-Thorigny par contre je suis vraiment à Changis-St-Jean,Changis-St-Jean,Bar-sur-Aube,Lagny-Thorigny
Calcule un trajet mais pas direct Je veux partir de Vincent froideville ensuite Griesheim pres molsheim et pour finir Segos,Vincent froideville,Segos,Griesheim pres molsheim
Comment aller à Douvres,,Douvres,
Je part de Verneusses vers St martin de bonfosse et Tessel,Verneusses,Tessel,St martin de bonfosse
Direction Rue Malte Brun depuis Place Baudoyer,Place Baudoyer,Rue Malte Brun,
Le chemin Sens St leger du malzieu s'il te plaît,Sens,St leger du malzieu,
Je dois choper quelque chose à St chartier en allant de Ste mere vers Tournon sur rhone,Ste mere,Tournon sur rhone,St chartier
St-Aubin (Jura) en prenant le passage de Aytré-Plage,,St-Aubin (Jura),Aytré-Plage
Je vais de Beaucourt en santerre à Espeyrac pas à Pantin,Beaucourt en santerre,Espeyrac,
Pour se diriger à Tournon sur rhone je dois impérativement traverser Alixan Pleaux je voulais dire et je débute à St etienne de tinee,St etienne de tinee,Tournon sur rhone,Pleaux
Je veux aller à Ste foy la longue mais pas directement d'abord je pars de Espedaillac et je dois passer par Lestiou,Espedaillac,Ste foy la longue,Lestiou
Gannes en partant à Colombiers non à Bailleul-Sir-Berthoult je mélange,Bailleul-Sir-Berthoult,Gannes,
Je suis à Place de Barcelone et je veux prendre le chemin qui passe par Quai de la Charente pour aller à Rue Nationale,Place de Barcelone,Rue Nationale,Quai de la Charente
Faut passer à Trappes-Marchandises entre Montigny-Beauchamp et Péronne-la-Chapelette pour récup un truc,Montigny-Beauchamp,Péronne-la-Chapelette,Trappes-Marchandises
On part de Rue Lécuyer on s'arrête en face de Cour Saint-Pierre puis Rue Coysevox,Rue Lécuyer,Rue Coysevox,Cour Saint-Pierre
Esplanade des Ouvriers de la Tour Eiffel par Avenue Delecourt Hannon Voie Ee/20 par Passage Sigaud pour Rue Rouget de l'Isle,Voie Ee/20,Rue Rouget de l'Isle,Passage Sigaud
Oublie Rue de Richelieu calcule Place Joachim du Bellay Villa Industrielle par Place Emile Mâle,Place Joachim du Bellay,Villa Industrielle,Place Emile Mâle
Je pensais aller Sierck-les-Bains mais en fait je pars de Pignans je récupère un truc à Rixheim puis direction St-Fons,Pignans,St-Fons,Rixheim
Je veux pas faire Neuvic ou Reims-St-Léonard maintenant c'est Marolles-en-Hurepoix via Fère-Champenoise puis Corcy,Marolles-en-Hurepoix,Corcy,Fère-Champenoise
J'ai un parcours un peu particulier Rue de la Mire pour commencer Place Léon Deubel au milieu et Rue de la Folie-Méricourt pour terminer,Rue de la Mire,Rue de la Folie-Méricourt,Place Léon Deubel
Annule le passage par St-Léonard-de-Noblat nouveau trajet début Varetz escale Wihr-au-Val-Soultzbach-les-Bains fin Sérifontaine,Varetz,Sérifontaine,Wihr-au-Val-Soultzbach-les-Bains
Mon ami m'attendait à Valmanya mais finalement il sera à Villechauve sur ma route de La chapelle hareng à Ceaux en loudun,La chapelle hareng,Ceaux en loudun,Villechauve
Voyons voir Rue Edmond Gondinet nom de Chemin des Pépinières à Rue du Colonel Oudot,Chemin des Pépinières,Rue du Colonel Oudot,
Calcule un trajet mais pas direct Je veux partir de Ossès-St-Martin-d'Arrossa ensuite Schopperten et pour finir Corcy,Ossès-St-Martin-d'Arrossa,Corcy,Schopperten
Aller à Douzies,,Douzies,
